ForecastDate,Date,Key,Estimated,Confirmed
2020-05-19,2020-04-22,AU,6641.5597,6654
2020-05-19,2020-04-23,AU,6666.9131,6667
2020-05-19,2020-04-24,AU,6690.9711,6687
2020-05-19,2020-04-25,AU,6713.7951,6703
2020-05-19,2020-04-26,AU,6735.4443,6713
2020-05-19,2020-04-27,AU,6755.9756,6725
2020-05-19,2020-04-28,AU,6775.4432,6738
2020-05-19,2020-04-29,AU,6793.8993,6746
2020-05-19,2020-04-30,AU,6811.3938,6762
2020-05-19,2020-05-01,AU,6827.9744,6767
2020-05-19,2020-05-02,AU,6843.6867,6783
2020-05-19,2020-05-03,AU,6858.5742,6801
2020-05-19,2020-05-04,AU,6872.6785,6825
2020-05-19,2020-05-05,AU,6886.0393,6849
2020-05-19,2020-05-06,AU,6898.6944,6875
2020-05-19,2020-05-07,AU,6910.6798,6896
2020-05-19,2020-05-08,AU,6922.0298,6914
2020-05-19,2020-05-09,AU,6932.7772,6929
2020-05-19,2020-05-10,AU,6942.9531,6941
2020-05-19,2020-05-11,AU,6952.587,6948
2020-05-19,2020-05-12,AU,6961.7071,6964
2020-05-19,2020-05-13,AU,6970.3402,6975
2020-05-19,2020-05-14,AU,6978.5117,6989
2020-05-19,2020-05-15,AU,6986.2458,7019
2020-05-19,2020-05-16,AU,6993.5654,7036
2020-05-19,2020-05-17,AU,7000.4924,7045
2020-05-19,2020-05-18,AU,7007.0474,7060
2020-05-19,2020-05-19,AU,7013.2501,7068
2020-05-19,2020-05-20,AU,7019.1191,
2020-05-19,2020-05-21,AU,7024.6722,
2020-05-19,2020-05-22,AU,7029.926,
2020-05-19,2020-05-23,AU,7034.8966,
2020-05-19,2020-05-24,AU,7039.599,
2020-05-19,2020-05-25,AU,7044.0475,
2020-05-19,2020-05-26,AU,7048.2556,
2020-05-18,2020-04-21,CZ,7101.0737,7041
2020-05-18,2020-04-22,CZ,7196.2745,7136
2020-05-18,2020-04-23,CZ,7285.2149,7188
2020-05-18,2020-04-24,CZ,7368.2242,7273
2020-05-18,2020-04-25,CZ,7445.6268,7352
2020-05-18,2020-04-26,CZ,7517.7404,7404
2020-05-18,2020-04-27,CZ,7584.8741,7449
2020-05-18,2020-04-28,CZ,7647.3268,7504
2020-05-18,2020-04-29,CZ,7705.3864,7579
2020-05-18,2020-04-30,CZ,7759.3289,7682
2020-05-18,2020-05-01,CZ,7809.418,7737
2020-05-18,2020-05-02,CZ,7855.9047,7755
2020-05-18,2020-05-03,CZ,7899.0275,7781
2020-05-18,2020-05-04,CZ,7939.0119,7819
2020-05-18,2020-05-05,CZ,7976.0714,7896
2020-05-18,2020-05-06,CZ,8010.4068,7974
2020-05-18,2020-05-07,CZ,8042.2075,8031
2020-05-18,2020-05-08,CZ,8071.651,8077
2020-05-18,2020-05-09,CZ,8098.904,8095
2020-05-18,2020-05-10,CZ,8124.1227,8123
2020-05-18,2020-05-11,CZ,8147.4529,8176
2020-05-18,2020-05-12,CZ,8169.0312,8221
2020-05-18,2020-05-13,CZ,8188.9848,8269
2020-05-18,2020-05-14,CZ,8207.4323,8351
